"Year","DFO.B","Spring.B","Fall.B","DFO.CV","Spring.CV","Fall.CV"
1987,1126.16973596331,1227.32102210329,3273.75669660155,0.2742,0.3752,0.3894
1988,1112.96667928225,2110.96230527161,2032.31748075997,0.2173,0.2808,0.2919
1989,424.027781735607,2720.7046434038,681.034061457497,0.2571,0.2869,0.3418
1990,1363.08810499132,2607.63736772812,3901.66610693069,0.2223,0.3329,0.6281
1991,1584.19680528964,2354.63534492909,2893.89546936045,0.3303,0.2644,0.3376
1992,2230.63659334788,5844.04819919722,2915.06544311837,0.1626,0.4938,0.3075
1993,2380.57345162296,1799.00110901793,2301.13620413879,0.1515,0.2769,0.3129
1994,2480.98468097422,2464.3441866738,2178.90956319686,0.228,0.2368,0.4446
1995,1826.38506389421,9625.27164613326,3582.91820016056,0.2012,0.6372,0.3318
1996,4778.71320183445,10646.2355611453,1414.39390710909,0.2225,0.3317,0.3873
1997,11978.0056836903,16264.5223683168,5204.21864324324,0.2334,0.2659,0.6077
1998,3868.15561467563,8672.59588771742,15101.7805252698,0.244,0.2385,0.3608
1999,15919.3164321653,34729.1921207386,17364.9705500312,0.3249,0.4478,0.3664
2000,17975.9900040073,24985.2558090447,31844.8331669789,0.2529,0.2306,0.2272
2001,19966.3649650474,18679.6095240032,23317.3280772099,0.4157,0.3432,0.5179
2002,18651.7825103522,35683.7336757827,46145.749590652,0.305,0.2895,0.4064
2003,14641.6798699853,25082.2772337169,14995.5312230131,0.3171,0.4278,0.5332
2004,8158.35571931074,7055.69652962269,16128.3245357952,0.3134,0.2781,0.3283
2005,12035.5778106772,12714.6577032914,20437.8122126661,0.5301,0.3456,0.4652
2006,5928.17244979741,9031.94831833021,9837.64686195701,0.4442,0.1928,0.5346
2007,12024.131383855,17543.7125366872,18059.185915904,0.4347,0.2268,0.2675
2008,60661.6989158021,12116.4833042548,32557.8219058068,0.9391,0.2388,0.3151
2009,64919.5996972261,18120.8430113282,28396.9234787084,0.7914,0.23,0.2989
2010,8234.57078899328,22181.0293283382,26935.9837659442,0.2936,0.2727,0.2836
2011,3451.21101785476,9556.47064490233,8975.94515208278,0.2936,0.2382,0.307
2012,5064.19388663787,14908.0809026849,9793.10421015074,0.3556,0.4806,0.2765
2013,628.703493031747,4118.7211131924,10065.4905628401,0.3284,0.2243,0.47
2014,462.446976713122,2762.94215502631,3493.29677102845,0.3374,0.1875,0.3753
2015,740.957807560443,1890.90672553742,4091.44921951655,0.3665,0.2087,0.3339
2016,1557.05404069638,1164.87570243511,1874.77639818036,0.6076,0.2674,0.6549
